date,bitcoin
2019-05-25,1288
2019-05-26,1350
2019-05-27,1975
2019-05-28,1739
2019-05-29,1629
2019-05-30,1727
2019-05-31,1880
2019-06-01,1531
2019-06-02,1492
2019-06-03,1604
2019-06-04,1898
2019-06-05,1626
2019-06-06,1513
2019-06-07,2042
2019-06-08,1711
2019-06-09,1632
2019-06-10,1855
2019-06-11,1841
2019-06-12,1853
2019-06-13,1858
2019-06-14,1545
2019-06-15,1489
2019-06-16,1845
2019-06-17,1925
2019-06-18,1950
2019-06-19,1721
2019-06-20,1735
2019-06-21,738
2019-06-22,1037
2019-06-23,733
2019-06-24,755
2019-06-25,841
2019-06-26,1464
2019-06-27,1251
2019-06-28,2079
2019-06-29,1539
2019-06-30,1371
2019-07-01,1547
2019-07-02,1578
2019-07-03,1458
2019-07-04,1344
2019-07-05,1758
2019-07-06,1474
2019-07-07,1393
2019-07-08,1713
2019-07-09,1986
2019-07-10,2082
2019-07-11,1942
2019-07-12,1727
2019-07-13,1356
2019-07-14,1364
2019-07-15,1686
2019-07-16,1687
2019-07-17,1758
2019-07-18,1593
2019-07-19,2154
2019-07-20,1785
2019-07-21,1742
2019-07-22,1848
2019-07-23,1895
2019-07-24,1977
2019-07-25,1869
2019-07-26,1826
2019-07-27,1742
2019-07-28,1602
2019-07-29,1750
2019-07-30,1708
2019-07-31,1753
2019-08-01,1752
2019-08-02,1568
2019-08-03,1371
2019-08-04,1317
2019-08-05,1946
2019-08-06,1931
2019-08-07,1744
2019-08-08,1607
2019-08-09,1824
2019-08-10,1606
2019-08-11,1484
2019-08-12,1688
2019-08-13,1749
2019-08-14,1898
2019-08-15,2033
2019-08-16,1993
2019-08-17,1617
2019-08-18,1578
2019-08-19,1852
2019-08-20,1829
2019-08-21,1865
2019-08-22,1772
2019-08-23,1691
2019-08-24,1446
2019-08-25,1407
2019-08-26,1632
2019-08-27,1594
2019-08-28,1665
2019-08-29,1793
2019-08-30,1774
2019-08-31,1474
2019-09-01,1422
2019-09-02,1757
2019-09-03,1948
2019-09-04,1793
2019-09-05,1650
2019-09-06,2068
2019-09-07,1715
2019-09-08,1658
2019-09-09,1823
2019-09-10,1795
2019-09-11,1795
2019-09-12,1787
2019-09-13,1791
2019-09-14,1551
2019-09-15,1549
2019-09-16,1705
2019-09-17,1682
2019-09-18,1669
2019-09-19,1802
2019-09-20,768
2019-09-21,609
2019-09-22,609
2019-09-23,719
2019-09-24,1005
2019-09-25,1166
2019-09-26,1060
2019-09-27,1998
2019-09-28,1583
2019-09-29,1463
2019-09-30,1698
2019-10-01,1658
2019-10-02,1559
2019-10-03,1533
2019-10-04,1726
2019-10-05,1495
2019-10-06,1509
2019-10-07,1811
2019-10-08,1731
2019-10-09,1747
2019-10-10,1721
2019-10-11,1397
2019-10-12,1168
2019-10-13,1152
2019-10-14,1296
2019-10-15,1338
